No,Unit / Instansi,Kasus,Fisik,Psikis,Seksual,Eksploitasi,Trafficking,Penelantaran,Lainnya,Rumah Tangga,Tempat Kerja,Lainnya.1,Sekolah,Fasilitas Umum,Lembaga Pendidikan Kilat,Bantuan Hukum,Penegakan Hukum,Rehabilitasi Sosial,Reintegrasi Sosial,Pemulangan,Pendampingan Tokoh Agama
1.0,Kabupaten Banjarnegara,27,2,8,11,1,0,7,2,18,0,6,1,2,0,0,0,0,0,0,0
2.0,Kabupaten Banyumas,33,5,12,13,0,2,4,2,15,0,15,3,0,0,0,0,8,0,0,0
3.0,Kabupaten Batang,10,2,0,5,0,0,3,2,7,1,2,0,0,0,0,1,0,0,0,0
4.0,Kabupaten Blora,4,3,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1
5.0,Kabupaten Boyolali,14,0,4,7,0,0,1,1,6,0,5,1,2,0,0,0,0,0,0,0
6.0,Kabupaten Brebes,24,10,3,11,0,1,0,2,12,1,4,1,6,0,0,0,0,0,0,0
7.0,Kabupaten Cilacap,25,16,26,24,0,1,7,4,14,0,3,1,7,0,2,0,1,1,0,0
8.0,Kabupaten Demak,49,24,6,13,0,0,8,1,14,1,14,5,12,3,1,9,0,0,0,0
9.0,Kabupaten Grobogan,26,11,10,7,1,0,3,1,20,0,3,1,2,0,0,0,14,0,0,0
10.0,Kabupaten Jepara,11,6,4,3,1,0,4,1,9,0,0,0,2,0,3,1,0,0,0,0
11.0,Kabupaten Karanganyar,4,2,2,2,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0
12.0,Kabupaten Kebumen,8,0,3,9,0,0,0,0,6,0,1,0,1,0,1,4,0,1,0,0
13.0,Kabupaten Kendal,18,8,4,4,0,0,3,0,5,0,9,1,3,0,0,3,0,0,0,2
14.0,Kabupaten Klaten,11,6,4,3,0,0,2,1,5,1,1,0,4,0,0,1,0,0,0,0
15.0,Kabupaten Kudus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,Kabupaten Magelang,31,5,23,10,0,1,7,0,18,0,9,0,4,0,0,0,0,0,0,0
17.0,Kabupaten Pati,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
18.0,Kabupaten Pekalongan,20,9,4,9,0,0,0,0,13,1,4,1,1,0,0,2,0,0,0,1
19.0,Kabupaten Pemalang,15,10,6,6,1,0,0,0,9,0,4,1,1,0,1,6,5,0,0,0
20.0,Kabupaten Purbalingga,18,6,1,12,0,0,1,2,10,0,4,1,3,0,0,0,0,0,0,0
21.0,Kabupaten Purworejo,9,3,5,1,0,0,2,0,8,0,0,1,0,0,1,1,0,0,1,0
22.0,Kabupaten Rembang,6,3,1,3,0,0,1,0,1,0,4,0,1,0,0,0,0,0,0,0
23.0,Kabupaten Semarang,68,49,5,12,1,0,4,3,37,3,19,2,7,0,1,0,0,4,0,0
24.0,Kabupaten Sragen,12,4,0,3,0,0,2,4,7,0,1,1,3,0,0,0,0,0,0,0
25.0,Kabupaten Sukoharjo,23,11,10,9,0,1,4,1,17,0,4,0,2,0,4,3,0,0,0,4
26.0,Kabupaten Tegal,19,10,2,13,1,1,1,0,9,0,5,0,5,0,0,0,0,0,0,0
27.0,Kabupaten Temanggung,8,2,0,5,0,0,0,1,6,0,1,0,1,0,1,1,0,0,0,1
28.0,Kabupaten Wonogiri,10,2,0,4,0,0,0,3,2,1,5,1,1,0,5,0,0,0,0,0
29.0,Kabupaten Wonosobo,44,3,24,17,0,0,15,0,26,0,17,1,0,0,2,6,0,0,0,0
30.0,Kota Magelang,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0
31.0,Kota Pekalongan,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32.0,Kota Salatiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.0,Kota Semarang,129,72,80,23,0,0,38,9,96,0,16,1,16,0,6,10,3,1,0,0
34.0,Kota Surakarta,25,10,20,8,0,0,6,0,19,0,4,0,2,0,4,0,0,1,1,0
35.0,Kota Tegal,12,8,6,2,1,0,1,1,6,0,0,0,6,0,0,1,0,1,0,1
,Total,723,304,275,251,7,7,125,41,423,9,161,25,98,3,33,51,31,9,2,10
